Item,Description,Qty.,"Unit Price
(USD)","Total Price 
(USD)",URL,"Running Total
(USD incl. tax)"
ESP32-C3-WROOM-02U,ESP32 RF TXRX MOD BLUETOOTH U.FL SMD,1,$3.71,$3.71,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-C3-WROOM-02U-N4/15222540,$4.10
277-1580-ND,"5POS Terminal Block, Side Entry, 5mm",1,$1.28,$1.28,https://www.digikey.com/en/products/detail/phoenix-contact/1935190/568617,$5.51
277-1578-ND,"3POS Terminal Block, Side Entry, 5mm",1,$0.72,$0.72,https://www.digikey.com/en/products/detail/phoenix-contact/1935174/568615,$6.31
277-1667-ND,"2POS Terminal Block, Side Entry, 5mm",1,$0.53,$0.53,https://www.digikey.com/en/products/detail/phoenix-contact/1935161/568614,$6.90
IRLR2705PBFCT-ND,MOSFET N-CH 55V 28A DPAK,10,$0.58,$5.76,https://www.digikey.com/en/products/detail/infineon-technologies/IRLR2705TRPBF/812649,$13.26
776-MAF95310-ND,185mm UFL Antenna,1,$1.13,$1.13,https://www.digikey.com/en/products/detail/ezurio/MAF95310/5876486,$14.51
311-330HRCT-ND,RES 330 OHM 1% 1/10W 0603,10,$0.02,$0.20,https://www.digikey.com/en/products/detail/yageo/RC0603FR-07330RL/727162,$14.73
RNCP0603FTD10K0CT-ND,RES 10K OHM 1% 1/8W 0603,10,$0.01,$0.12,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCP0603FTD10K0/2240139,$14.86
5272-XL1509-3.3-EVCT-ND,XL1509 IC REG BUCK 3.3V 3A 8SOP,1,$0.93,$0.93,https://www.digikey.com/en/products/detail/evvo/XL1509-3-3-EV/24370104,$15.89
4878-SK34SMA-3GCT-ND,DIODE SCHOTTKY 40V 3A SMA,1,$0.35,$0.35,https://www.digikey.com/en/products/detail/diotec-semiconductor/SK34SMA-3G/13155211,$16.28
P16479CT-ND,CAP ALUM POLY 180UF 20% 16V SMD,1,$1.55,$1.55,https://www.digikey.com/en/products/detail/panasonic-industry/16SVPF180M/4204811,$17.99
1276-1860-1-ND,CAP CER 1UF 50V X5R 0603,10,$0.08,$0.80,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A105KB8NNNC/3887518,$18.87
36-3568-ND,FUSE HOLDER BLADE 500V 30A PCB,1,$1.31,$1.31,https://www.digikey.com/en/products/detail/keystone-electronics/3568/2137306,$20.32
493-1111-ND,CAP ALUM 1000UF 20% 50V RADIAL,1,$1.30,$1.30,https://www.digikey.com/en/products/detail/nichicon/UVR1H102MHD/588852,$21.76
SMBJ30ALFCT-ND,TVS DIODE 30VWM 48.4VC DO214AA,1,$0.50,$0.50,https://www.digikey.com/en/products/detail/littelfuse-inc/SMBJ30A/286004,$22.31
SRR1210A-680MCT-ND,FIXED IND 68UH 3A 102 MOHM SMD,1,$1.47,$1.47,https://www.digikey.com/en/products/detail/bourns-inc/SRR1210A-680M/5031009,$23.93
399-A768MS107M1HLAE024CT-ND,CAP ALUM POLY 100UF 20% 50V SMD,1,$1.22,$1.22,https://www.digikey.com/en/products/detail/kemet/A768MS107M1HLAE024/12704540,$25.28
Female IO Headers,20PCS Single Row Straight Female Pin Socket Pin Header Connector Pin Strip 2.54mm Spacing for PCB Board Shield,1,$5.99,$5.99,https://www.amazon.com/Ferwooh-Single-Straight-Connector-Spacing/dp/B0CZ6X313F/ref=sr_1_2?crid=39VMGF4CCA1GG&dib=eyJ2IjoiMSJ9.NBa46IPaB8xWVTMRTULFOi3t2_Bh3ctx1FmyruNSGoGmYMdxk0LClbzoKFV-c0LT81RXjUFz13WOxkmCkKyU9QgRG8rwSUfN6dJtCpupQRfLCY0_F6_al_UNWfSwz9q3z1k9db4CpDrOTnL1TruZ9XrdwOYw0u1U0dscYfxgbU-Gp83MaORzWl8d61gyXKhzst-xlNGDYB-oXc_l3OwoJDj05kOEF4lXotFBnQoTlWQ.HyzfQy6889qkZPpNsp2jaawJgTKnZesUPEsDKpRi2kk&dib_tag=se&keywords=gpio+header+female&qid=1789867484&sprefix=gpio+header+fema%2Caps%2C180&sr=8-2,$31.90
450-1650-ND,SWITCH TACTILE SPST-NO 0.05A 24V,2,$0.13,$0.26,https://www.digikey.com/en/products/detail/te-connectivity-alcoswitch-switches/1825910-6/1632536,$32.19
F989-ND,FUSE AUTOMOTIVE 5A 32VDC BLADE,2,$0.39,$0.78,https://www.digikey.com/en/products/detail/littelfuse-inc/0297005-WXNV/146583,$33.05
Digikey Shipping,,1,$4.99,$4.99,,$38.56
Digikey Tariffs,,1,$4.71,$4.71,,$43.77
PCB,From JLCPCB,5,$0.80,$4.00,,$48.19
JLC Shipping,,1,$6.77,$6.77,,$55.67
